id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
480,SIN CODIGO,TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL ABDOMEN,SIN CAPITULO,1
481,SIN CODIGO,ANTIVENENO ALACRAN,SIN CAPITULO,1
482,SIN CODIGO,TERAPIA DE SUSTITUCION EN PACIENTES QUE NO TIENEN CANTIDADES SUFICIENTES DE ANTICUERPOS PROPIOS,SIN CAPITULO,1
483,C729,"TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION",Neoplasias malignas (oncológico),1
484,B559,"LEISHMANIASIS, NO ESPECIFICADA",Enfermedades infecciosas y parasitarias,1
485,SIN CODIGO,ANTIDOTO DE LA HEPARINA,SIN CAPITULO,1
486,SIN CODIGO,ANTINEOPLASICO,SIN CAPITULO,1
487,E702,TRASTORNOS DEL METABOLISMO DE LA TIROSINA,"Enf. endocrinas, nutricionales y metabólicas",1
488,SIN CODIGO,"ANTINEOPLASICO, CITOSTATICO, TRATAMIENTO ALTERNATIVO DE LEUCEMIA AGUDA LINFOBLASTICA",SIN CAPITULO,1
489,SIN CODIGO,"ANTINEOPLASICO, CITOSTATICO, TRATAMIENTO ALTERNATIVO DE LEUCEMIA AGUDA LINFOBLASTICAS",SIN CAPITULO,1
490,C444,TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO,Neoplasias malignas (oncológico),1
491,C20X,TUMOR MALIGNO DEL RECTO,Neoplasias malignas (oncológico),1
492,D509,ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACION,Neoplasias benignas / Enf. de la sangre,1
493,I513,"TROMBOSIS INTRACARDIACA, NO CLASIFICADA EN OTRA PARTE",Enfermedades del sistema circulatorio,1
494,C182,TUMOR MALIGNO DEL COLON ASCENDENTE,Neoplasias malignas (oncológico),1
495,SIN CODIGO,ACIDOSIS METABOLICA,SIN CAPITULO,1
496,E079,"TRASTORNO DE LA GLANDULA TIROIDES, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
497,SIN CODIGO,DEFICIENCIA DE LIPASA ACIDA LIPOSOMAL,SIN CAPITULO,1
498,T633,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE ARANAS,Traumatismos y envenenamientos,1
499,SIN CODIGO,TRATAMIENTO CONTRA EL CANCER,SIN CAPITULO,1
500,P211,"ASFIXIA DEL NACIMIENTO, LEVE Y MODERADA",Afecciones del período perinatal,1
501,SIN CODIGO,TRATAMIENTO DEL MIELOMA Y ADENOCARCINOMA OVARICO AVANZADO,SIN CAPITULO,1
502,I678,OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS,Enfermedades del sistema circulatorio,1
503,SIN CODIGO,"TRATAMIENTO CONTRA LA LEUCEMIA, LINFOMAS Y MIELOMAS",SIN CAPITULO,1
504,E612,SINDROME DE GITELMAN,"Enf. endocrinas, nutricionales y metabólicas",1
505,SIN CODIGO,ADENOCARCINOMA PRIMARIO PULMONAR,SIN CAPITULO,1
506,SIN CODIGO,"EPILEPSIA EN AUSENCIAS INFANTILES DE MUY DIFICIL CONTROL, MANEJO CON BITERAPIA.",SIN CAPITULO,1
507,L819,"TRASTORNO DE LA PIGMENTACION, NO ESPECIFICADO",Enfermedades de la piel,1
508,D090,CANCER DE VEJIGA,Neoplasias benignas / Enf. de la sangre,1
509,C403,OSTEOSARCOMA PERIOSTAL,Neoplasias malignas (oncológico),1
510,G121,OTRAS ATROFIAS MUSCULARES ESPINALES HEREDITARIAS,Enfermedades del sistema nervioso,1
511,SIN CODIGO,LEUCEMIA PROMIELOCITICA AGUDA,SIN CAPITULO,1
512,SIN CODIGO,ESTIMULANTE DEL SISTEMA NERVIOSO SIMPATICO (RECEPTORES ALFA Y Β,SIN CAPITULO,1
513,SIN CODIGO,INDUCTOR DEL SUENO - SEDANTE,SIN CAPITULO,1
514,SIN CODIGO,CARCINOMA UROTELIAL IN SITU DE LA VEJIGA,SIN CAPITULO,1
515,K740,FIBROSIS HEPATICA,Enfermedades del sistema digestivo,1
516,K210,ENFERMEDAD DEL REFLUJO GASTROESOFAGICO CON ESOFAGITIS,Enfermedades del sistema digestivo,1
517,SIN CODIGO,ANTIDOTO CONTRA INTOXICACION POR PLOMO Y OTROS METALES PESADO,SIN CAPITULO,1
518,SIN CODIGO,MICOSIS FUNGOIDE,SIN CAPITULO,1
519,D828,INMUNODEFICIENCIA ASOCIADA CON OTROS DEFECTOS MAYORES ESPECIFICADOS,Neoplasias benignas / Enf. de la sangre,1
520,M352,ENFERMEDAD DE BEHCET,Enfermedades del sistema musculoesquelético,1
521,E161,OTRAS HIPOGLICEMIAS,"Enf. endocrinas, nutricionales y metabólicas",1
522,G400,EPILEPSIA Y SINDROMES EPILEPTICOS IDIOPATICOS RELACIONADOS CON LOCALIZACIONES (FOCALES) (PARCIALES) Y CON ATAQUES DE INICIO LOCALIZADO,Enfermedades del sistema nervioso,1
523,C741,TUMOR MALIGNO DE LA MEDULA DE LA GLANDULA SUPRARRENAL,Neoplasias malignas (oncológico),1
524,C810,ENFERMEDAD DE HODGKIN CON PREDOMINIO LINFOCITICO,Neoplasias malignas (oncológico),1
525,C679,"TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
526,C259,"TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
527,G401,EPILEPSIA Y SINDROMES EPILEPTICOS SINTOMATICOS RELACIONADOS CON LOCALIZACIONES (FOCALES) (PARCIALES) Y CON ATAQUES PARCIALES SIMPLES,Enfermedades del sistema nervioso,1
528,Y552,"EFECTOS ADVERSOS DE OTROS AGENTES QUE ACTUAN PRIMARIAMENTE SOBRE LOS MUSCULOS, Y LOS NO ESPECIFICADOS",Otro (capítulo Y),1
529,D806,DEFICIENCIA DE ANTICUERPOS CON INMUNOGLOBULINAS CASI NORMALES O CON HIPERINMUNOGLOBULINEMIA,Neoplasias benignas / Enf. de la sangre,1
530,P270,SINDROME DE WILSON-MIKITY,Afecciones del período perinatal,1
531,L931,LUPUS ERITEMATOSO CUTANEO SUBAGUDO,Enfermedades de la piel,1
532,H539,"ALTERACION VISUAL, NO ESPECIFICADA",Enfermedades del ojo y del oído,1
533,J958,OTROS TRASTORNOS RESPIRATORIOS CONSECUTIVOS A PROCEDIMIENTOS,Enfermedades del sistema respiratorio,1
534,K769,"ENFERMEDAD DEL HIGADO, NO ESPECIFICADA",Enfermedades del sistema digestivo,1
535,L038,CELULITIS DE OTROS SITIOS,Enfermedades de la piel,1
536,C179,"TUMOR MALIGNO DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
537,E833,TRASTORNOS DEL METABOLISMO DEL FOSFORO,"Enf. endocrinas, nutricionales y metabólicas",1
538,G248,OTRAS DISTONIAS,Enfermedades del sistema nervioso,1
539,L309,"DERMATITIS, NO ESPECIFICADA",Enfermedades de la piel,1
540,D057,OTROS CARCINOMAS IN SITU DE LA MAMA,Neoplasias benignas / Enf. de la sangre,1
541,E550,RAQUITISMO ACTIVO,"Enf. endocrinas, nutricionales y metabólicas",1
542,E724,TRASTORNO DEL METABOLISMO DE LA ORNITINA,"Enf. endocrinas, nutricionales y metabólicas",1
543,D039,"MELANOMA IN SITU, SITIO NO ESPECIFICADO",Neoplasias benignas / Enf. de la sangre,1
544,C55X,"TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
545,E788,OTROS TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS,"Enf. endocrinas, nutricionales y metabólicas",1
546,C403,TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR,Neoplasias malignas (oncológico),1
547,C254,TUMOR MALIGNO DEL PANCREAS ENDOCRINO,Neoplasias malignas (oncológico),1
548,Z303,EXTRACCION MENSTRUAL,Factores que influyen en el estado de salud,1
549,R33X,RETENCION DE ORINA,Síntomas y signos no clasificados,1
550,K319,"ENFERMEDAD DEL ESTOMAGO Y DEL DUODENO, NO ESPECIFICADA",Enfermedades del sistema digestivo,1
551,R58X,"HEMORRAGIA, NO CLASIFICADA EN OTRA PARTE",Síntomas y signos no clasificados,1
552,E200,HIPOPARATIROIDISMO IDIOPATICO,"Enf. endocrinas, nutricionales y metabólicas",1
553,C172,TUMOR MALIGNO DEL ILEON,Neoplasias malignas (oncológico),1
554,J304,"RINITIS ALERGICA, NO ESPECIFICADA",Enfermedades del sistema respiratorio,1
555,C250,TUMOR MALIGNO DE LA CABEZA DEL PANCREAS,Neoplasias malignas (oncológico),1
556,C787,TUMOR MALIGNO SECUNDARIO DEL HIGADO,Neoplasias malignas (oncológico),1
557,T781,"OTRA REACCION ADVERSA A ALIMENTOS, NO CLASIFICADA EN OTRA PARTE",Traumatismos y envenenamientos,1
558,K500,ENFERMEDAD DE CROHN DEL INTESTINO DELGADO,Enfermedades del sistema digestivo,1
559,F339,"TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO",Trastornos mentales y del comportamiento,1
560,M892,OTROS TRASTORNOS DEL DESARROLLO Y CRECIMIENTO OSEO,Enfermedades del sistema musculoesquelético,1
561,D899,"TRASTORNO QUE AFECTA AL MECANISMO DE LA INMUNIDAD, NO ESPECIFICADO",Neoplasias benignas / Enf. de la sangre,1
562,L920,GRANULOMA ANULAR,Enfermedades de la piel,1
563,D339,"TUMOR BENIGNO DEL SISTEMA NERVIOSO CENTRAL, SITIO NO ESPECIFICADO",Neoplasias benignas / Enf. de la sangre,1
564,I509,"INSUFICIENCIA CARDIACA, NO ESPECIFICADA",Enfermedades del sistema circulatorio,1
565,E349,"TRASTORNO ENDOCRINO, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
566,C178,TUMOR MALIGNO DEL LESION DE SITIOS CONTIGUOS DEL INTESTINO DELGADO,Neoplasias malignas (oncológico),1
567,N209,"CALCULO URINARIO, NO ESPECIFICADO",Enfermedades del sistema genitourinario,1
568,F220,TRASTORNO DELIRANTE,Trastornos mentales y del comportamiento,1
569,E720,TRASTORNOS DEL TRANSPORTE DE LOS AMINOACIDOS,"Enf. endocrinas, nutricionales y metabólicas",1
570,Z300,CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA ANTICONCEPCION,Factores que influyen en el estado de salud,1
571,T884,FALLA O DIFICULTAD DE LA INTUBACION,Traumatismos y envenenamientos,1
572,G240,DISTONIA INDUCIDA POR DROGAS,Enfermedades del sistema nervioso,1
573,P742,ALTERACIONES DEL EQUILIBRIO DEL SODIO EN EL RECIEN NACIDO,Afecciones del período perinatal,1
574,E032,HIPOTIROIDISMO DEBIDO A MEDICAMENTOS Y A OTRAS SUSTANCIAS EXOGENAS,"Enf. endocrinas, nutricionales y metabólicas",1
575,X200,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS: VIVIENDA,Otro (capítulo X),1
576,J841,OTRAS ENFERMEDADES PULMONARES INTERSTICIALES CON FIBROSIS,Enfermedades del sistema respiratorio,1
577,B580,OCULOPATIA DEBIDA A TOXOPLASMA,Enfermedades infecciosas y parasitarias,1
578,C919,"LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION",Neoplasias malignas (oncológico),1
579,2019000726,SIN DIAGNOSTICO REPORTADO,Otro (capítulo 2),0
580,B07X,VERRUGAS VIRICAS,Enfermedades infecciosas y parasitarias,1
581,G129,"ATROFIA MUSCULAR ESPINAL, SIN OTRA ESPECIFICACION",Enfermedades del sistema nervioso,1
582,Y830,OPERACION QUIRURGICA CON TRASPLANTE DE UN ORGANO COMPLETO,Otro (capítulo Y),1
583,E220,ACROMEGALIA Y GIGANTISMO HIPOFISARIO,"Enf. endocrinas, nutricionales y metabólicas",1
584,K501,ENFERMEDAD DE CROHN DEL INTESTINO GRUESO,Enfermedades del sistema digestivo,1
585,D350,TUMOR BENIGNO DE LA GLANDULA SUPRARRENAL,Neoplasias benignas / Enf. de la sangre,1
586,C171,TUMOR MALIGNO DEL YEYUNO,Neoplasias malignas (oncológico),1
587,D093,CARCINOMA IN SITU DE LA GLANDULA TIROIDES Y DE OTRAS GLANDULAS ENDOCRINAS,Neoplasias benignas / Enf. de la sangre,1
588,NO EXISTE,SIN DIAGNOSTICO REPORTADO,Enfermedades del sistema genitourinario,0
589,D570,ANEMIA FALCIFORME CON CRISIS,Neoplasias benignas / Enf. de la sangre,1
590,Q820,LINFEDEMA HEREDITARIO,Malformaciones congénitas,1
591,M068,OTRAS ARTRITIS REUMATOIDEAS ESPECIFICADAS,Enfermedades del sistema musculoesquelético,1
592,T451,"ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO CLASIFICADOS EN OTRA PARTE: DROGAS ANTINEOPLASICAS E INMUNOSUPRESORAS",Traumatismos y envenenamientos,1
593,D359,TUMOR BENIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA,Neoplasias benignas / Enf. de la sangre,1
594,M328,OTRAS FORMAS DE LUPUS ERITEMATOSO SISTEMICO,Enfermedades del sistema musculoesquelético,1
595,N301,CISTITIS INTERSTICIAL (CRONICA),Enfermedades del sistema genitourinario,1
596,C773,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA AXILA Y DEL MIEMBRO SUPERIOR,Neoplasias malignas (oncológico),1
597,C845,OTROS LINFOMAS DE CELULAS Y LOS NO ESPECIFICADOS,Neoplasias malignas (oncológico),1
598,F334,TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISION,Trastornos mentales y del comportamiento,1
599,N321,FISTULA VESICOINTESTINAL,Enfermedades del sistema genitourinario,1
600,K871,TRASTORNOS DEL PANCREAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Enfermedades del sistema digestivo,1
601,E784,OTRA HIPERLIPIDEMIA,"Enf. endocrinas, nutricionales y metabólicas",1
602,D619,"ANEMIA APLASTICA, SIN OTRA ESPECIFICACION",Neoplasias benignas / Enf. de la sangre,1
603,D024,CARCINOMA IN SITU DE ORGANOS RESPIRATORIOS NO ESPECIFICADOS,Neoplasias benignas / Enf. de la sangre,1
604,M329,"LUPUS ERITEMATOSO SISTEMICO, SIN OTRA ESPECIFICACION",Enfermedades del sistema musculoesquelético,1
605,M349,"ESCLEROSIS SISTEMICA, NO ESPECIFICADA",Enfermedades del sistema musculoesquelético,1
606,E754,LIPOFUSCINOSIS CEROIDE NEURONAL,"Enf. endocrinas, nutricionales y metabólicas",1
607,T861,FALLA Y RECHAZO DE TRASPLANTE DE RINON,Traumatismos y envenenamientos,1
608,C620,TUMOR MALIGNO DEL TESTICULO NO DESCENDIDO,Neoplasias malignas (oncológico),1
609,E721,TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS,"Enf. endocrinas, nutricionales y metabólicas",1
610,C19X,TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA,Neoplasias malignas (oncológico),1
611,C859,"LINFOMA NO HODGKIN, NO ESPECIFICADO",Neoplasias malignas (oncológico),1
612,G122,ENFERMEDADES DE LAS NEURONAS MOTORAS,Enfermedades del sistema nervioso,1
613,I48X,FIBRILACION Y ALETEO AURICULAR,Enfermedades del sistema circulatorio,1
614,D059,"CARCINOMA IN SITU DE LA MAMA, PARTE NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
615,C901,LEUCEMIA DE CELULAS PLASMATICAS,Neoplasias malignas (oncológico),1
616,D689,"DEFECTO DE LA COAGULACION, NO ESPECIFICADO",Neoplasias benignas / Enf. de la sangre,1
617,B009,"INFECCION DEBIDA A EL VIRUS DEL HERPES, NO ESPECIFICADA",Enfermedades infecciosas y parasitarias,1
618,G120,"ATROFIA MUSCULAR ESPINAL INFANTIL, TIPO I [WERDNIG-HOFFMAN]",Enfermedades del sistema nervioso,1
619,D612,ANEMIA APLASTICA DEBIDA A OTROS AGENTES EXTERNOS,Neoplasias benignas / Enf. de la sangre,1
620,D097,CARCINOMA IN SITU DE OTROS SITIOS ESPECIFICADOS,Neoplasias benignas / Enf. de la sangre,1
621,L108,OTROS PENFIGOS,Enfermedades de la piel,1
622,E643,SECUELAS DEL RAQUITISMO,"Enf. endocrinas, nutricionales y metabólicas",1
623,E408,SINDROME DE MELAS,"Enf. endocrinas, nutricionales y metabólicas",1
624,D330,"TUMOR BENIGNO DEL ENCEFALO, SUPRATENTORIAL",Neoplasias benignas / Enf. de la sangre,1
625,C229,"TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO",Neoplasias malignas (oncológico),1
626,C500,TUMOR MALIGNO DEL PEZON Y AREOLA MAMARIA,Neoplasias malignas (oncológico),1
627,T141,HERIDA DE REGION NO ESPECIFICADA DEL CUERPO,Traumatismos y envenenamientos,1
628,E236,OTROS TRASTORNOS DE LA GLANDULA HIPOFISIS,"Enf. endocrinas, nutricionales y metabólicas",1
629,E725,TRASTORNO DEL METABOLISMO DE LA GLICINA,"Enf. endocrinas, nutricionales y metabólicas",1
630,P704,OTRAS HIPOGLICEMIAS NEONATALES,Afecciones del período perinatal,1
631,C850,LINFOSARCOMA,Neoplasias malignas (oncológico),1
632,N302,OTRAS CISTITIS CRONICAS,Enfermedades del sistema genitourinario,1
633,E709,"TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AROMATICOS, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
634,C501,TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA,Neoplasias malignas (oncológico),1
635,H180,PIGMENTACIONES Y DEPOSITOS EN LA CORNEA,Enfermedades del ojo y del oído,1
636,Y431,EFECTOS ADVERSOS DE ANTIMETABOLITOS ANTINEOPLASICOS,Otro (capítulo Y),1
637,C37X,TUMOR MALIGNO DEL TIMO,Neoplasias malignas (oncológico),1
638,A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION",Enfermedades infecciosas y parasitarias,1
639,D464,"ANEMIA REFRACTARIA, SIN OTRA ESPECIFICACION",Neoplasias benignas / Enf. de la sangre,1
640,T804,REACCION DE INCOMPATIBILIDAD A RH,Traumatismos y envenenamientos,1
641,I21,SIN DIAGNOSTICO REPORTADO,Enfermedades del sistema circulatorio,0
642,L509,"URTICARIA, NO ESPECIFICADA",Enfermedades de la piel,1
643,D010,CARCINOMA IN SITU DEL COLON,Neoplasias benignas / Enf. de la sangre,1
644,A082,ENTERITIS DEBIDA A ADENOVIRUS,Enfermedades infecciosas y parasitarias,1
645,N259,"TRASTORNO NO ESPECIFICADO, RESULTANTE DE LA FUNCION TUBULAR RENAL ALTERADA",Enfermedades del sistema genitourinario,1
646,N300,CISTITIS AGUDAS,Enfermedades del sistema genitourinario,1
647,G128,OTRAS ATROFIAS MUSCULARES ESPINALES Y SINDROMES AFINES,Enfermedades del sistema nervioso,1
648,G990,NEUROPATIA AUTONOMICA EN ENFERMEDADES METABOLICAS Y ENDOCRINAS,Enfermedades del sistema nervioso,1
649,N310,"VEJIGA NEUROPATICA NO INHIBIDA, NO CLASIFICADA EN OTRA PARTE",Enfermedades del sistema genitourinario,1
650,C220,CARCINOMA DE CELULAS HEPATICAS,Neoplasias malignas (oncológico),1
651,L208,OTRAS DERMATITIS ATOPICAS,Enfermedades de la piel,1
652,D441,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA SUPRARRENAL,Neoplasias benignas / Enf. de la sangre,1
653,ANESTESIA,SIN DIAGNOSTICO REPORTADO,Enfermedades infecciosas y parasitarias,0
654,T413,ENVENENAMIENTO POR ANESTESICOS Y GASES TERAPEUTICOS: ANESTESICOS LOCALES,Traumatismos y envenenamientos,1
655,R102,DOLOR PELVICO Y PERINEAL,Síntomas y signos no clasificados,1
656,P550,INCOMPATIBILIDAD RH DEL FETO Y DEL RECIEN NACIDO,Afecciones del período perinatal,1
657,K509,"ENFERMEDAD DE CROHN, NO ESPECIFICADA",Enfermedades del sistema digestivo,1
658,R579,"CHOQUE , NO ESPECIFICADO",Síntomas y signos no clasificados,1
659,E730,DEFICIENCIA CONGENITA DE LACTASA,"Enf. endocrinas, nutricionales y metabólicas",1
660,C260,"TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
661,P370,TUBERCULOSIS CONGENITA,Afecciones del período perinatal,1
662,C187,TUMOR MALIGNO DEL COLON SIGMOIDE,Neoplasias malignas (oncológico),1
663,D374,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL COLON,Neoplasias benignas / Enf. de la sangre,1
664,H188,OTROS TRASTORNOS ESPECIFICADOS DE LA CORNEA,Enfermedades del ojo y del oído,1
665,N850,HIPERPLASIA DE GLANDULA DEL ENDOMETRIO,Enfermedades del sistema genitourinario,1
666,D681,DEFICIENCIA HEREDITARIA DEL FACTOR XI,Neoplasias benignas / Enf. de la sangre,1
667,E050,TIROTOXICOSIS CON BOCIO DIFUSO,"Enf. endocrinas, nutricionales y metabólicas",1
668,M139,"ARTRITIS, NO ESPECIFICADA",Enfermedades del sistema musculoesquelético,1
669,D613,ANEMIA APLASTICA IDIOPATICA,Neoplasias benignas / Enf. de la sangre,1
670,K638,OTRAS ENFERMEDADES ESPECIFICADAS DEL INTESTINO,Enfermedades del sistema digestivo,1
671,W599,MORDEDURA O APLASTAMIENTO POR OTROS REPTILES: LUGAR NO ESPECIFICADO,Otro (capítulo W),1
672,C504,TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA,Neoplasias malignas (oncológico),1
673,H164,NEOVASCULARIZACION DE LA CORNEA,Enfermedades del ojo y del oído,1
674,E249,SIN DIAGNOSTICO REPORTADO,"Enf. endocrinas, nutricionales y metabólicas",0
675,Q250,CONDUCTO ARTERIOSO PERMEABLE,Malformaciones congénitas,1
676,|,SIN DIAGNOSTICO REPORTADO,Otro (capítulo |),0
677,E660,OBESIDAD DEBIDA A EXCESO DE CALORIAS,"Enf. endocrinas, nutricionales y metabólicas",1
678,E568,DEFICIENCIA DE OTRAS VITAMINAS,"Enf. endocrinas, nutricionales y metabólicas",1
679,T784,SIN DIAGNOSTICO REPORTADO,Traumatismos y envenenamientos,0
680,F339,SIN DIAGNOSTICO REPORTADO,Trastornos mentales y del comportamiento,0
681,E301,PUBERTAD PRECOZ,"Enf. endocrinas, nutricionales y metabólicas",1
682,C750,TUMOR MALIGNO DE LA GLANDULA PARATIROIDES,Neoplasias malignas (oncológico),1
683,C412,TUMOR MALIGNO DE LA COLUMNA VERTEBRAL,Neoplasias malignas (oncológico),1
684,C763,TUMOR MALIGNO DE LA PELVIS,Neoplasias malignas (oncológico),1
685,G462,SINDROME DE LA ARTERIA CEREBRAL POSTERIOR (I66.2†),Enfermedades del sistema nervioso,1
686,Z010,EXAMEN DE OJOS Y DE LA VISION,Factores que influyen en el estado de salud,1
687,F508,OTROS TRASTORNOS DE LA INGESTION DE ALIMENTOS,Trastornos mentales y del comportamiento,1
688,E02X,HIPOTIROIDISMO SUBCLINICO POR DEFICIENCIA DE YODO,"Enf. endocrinas, nutricionales y metabólicas",1
689,SIN CODIGO,TUBERCULOSIS CONGENITA,SIN CAPITULO,1
690,I491,DESPOLARIZACION AURICULAR PREMATURA,Enfermedades del sistema circulatorio,1
691,N390,"INFECCION DE VIAS URINARIAS, SITIO NO ESPECIFICADO",Enfermedades del sistema genitourinario,1
692,X209,CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS: LUGAR NO ESPECIFICADO,Otro (capítulo X),1
693,M058,OTRAS ARTRITIS REUMATOIDEAS SEROPOSITIVAS,Enfermedades del sistema musculoesquelético,1
694,R620,RETARDO EN DESARROLLO,Síntomas y signos no clasificados,1
695,H184,DEGENERACION DE LA CORNEA,Enfermedades del ojo y del oído,1
696,C340,TUMOR MALIGNO DEL BRONQUIO PRINCIPAL,Neoplasias malignas (oncológico),1
697,D440,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA TIROIDES,Neoplasias benignas / Enf. de la sangre,1
698,B561,TRIPANOSOMIASIS RHODESIENSE,Enfermedades infecciosas y parasitarias,1
699,N338,TRASTORNOS DE LA VEJIGA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Enfermedades del sistema genitourinario,1
700,G151,SIN DIAGNOSTICO REPORTADO,Enfermedades del sistema nervioso,0
701,C760,"TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO",Neoplasias malignas (oncológico),1
702,A309,"LEPRA, NO ESPECIFICADA",Enfermedades infecciosas y parasitarias,1
703,R934,HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE LOS ORGANOS URINARIOS,Síntomas y signos no clasificados,1
704,D473,TROMBOCITOPENIA (HEMORRAGICA) ESENCIAL,Neoplasias benignas / Enf. de la sangre,1
705,L508,OTRAS URTICARIAS,Enfermedades de la piel,1
706,C341,SIN DIAGNOSTICO REPORTADO,Neoplasias malignas (oncológico),0
707,G122,SIN DIAGNOSTICO REPORTADO,Enfermedades del sistema nervioso,0
708,D002,CARCINOMA IN SITU DEL ESTOMAGO,Neoplasias benignas / Enf. de la sangre,1
709,G600,NEUROPATIA HEREDITARIA MOTORA Y SENSORIAL,Enfermedades del sistema nervioso,1
710,K293,GASTRITIS CRONICA SUPERFICIAL.,Enfermedades del sistema digestivo,1
711,M122,SINOVITIS VELLONODULAR (PIGMENTADA),Enfermedades del sistema musculoesquelético,1
712,0,SIN DIAGNOSTICO REPORTADO,Otro (capítulo 0),0
713,C505,TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA,Neoplasias malignas (oncológico),1
714,C835,LINFOMA NO HODGKIN LINFOBLASTICO (DIFUSO),Neoplasias malignas (oncológico),1
715,I469,"PARO CARDIACO, NO ESPECIFICADO",Enfermedades del sistema circulatorio,1
